Area,Year,Month,Time,Crime Type,Latitude,Longitude
CHIKKALLASANDRA,2021,8,,MISSING PERSON,77.5831,12.8672
CHIKKALLASANDRA,2017,12,,THEFT,77.5702,12.8887
CHIKKALLASANDRA,2017,4,,MOLESTATION,77.5743,12.8801
CHIKKALLASANDRA,2016,9,,BURGLARY - NIGHT,77.5477,12.9092
CHIKKALLASANDRA,2016,5,,MOLESTATION,77.546,12.9142
CHIKKANAGAMANGALA,2023,10,,MISSING PERSON,12.8608,77.6947
CHIKKANAHALLI,2023,4,,ELECTION,13.2786,77.4318
CHIKKANNA GARDEN,2021,7,,CHEATING,12.9535,77.5722
CHINNAPPANAHALLI,2023,11,,CHEATING,12.9966,77.6879
CHOKKAHALLI,2022,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1438,77.7968
CHOKKANAHALLI VILLAGE,2017,10,,CASES OF HURT,13.1215,77.6198
CHOKKANAHALLI VILLAGE,2023,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1091,77.7159
CHOKKASANDRA,2022,1,,KIDNAPPING AND ABDUCTION,13.1882,77.9015
CHOWDESHWARI BUS STAND,2017,7,,THEFT,77.5554,13.0291
CHOWDESHWARI BUS STAND,2017,1,,MISSING PERSON,77.5498,13.0355
CHRISTIAN CEMENTRY BOTH SIDE,2020,3,,MISSING PERSON,12.9579,77.5993
CHUNCHGHTTA,2016,12,,THEFT,77.5658,12.8832
CHUNCHGHTTA,2018,7,,THEFT,77.5369,12.9114
CITY MARKET TRAFFIC,2016,3,,PUBLIC SAFETY,12.9641,77.5812
CITY MARKET TRAFFIC,2024,3,,PUBLIC SAFETY,12.9597,77.5832
COMMERCIAL STREET,2022,2,,CHEATING,12.9823,77.6066
